,whisky_id,link,image,name,avr_rating,category,location,total_rating,price_tier,abv,cask_type,smoky,peaty,spicy,herbal,oily,body,rich,sweet,salty,vanilla,tart,fruity,floral
3491,3492,/spirits/short-mountain-tennessee-moonshine,"https://ip-distiller.imgix.net/images/spirits/33a59d90-b58a-0133-6b7d-467d58fe60bf/short_mountain_tennessee_moonshine_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Short Mountain Tennessee Moonshine,,Spirit,"Tennessee, USA",,2,52.5,,0,0,0,60,0,30,30,15,0,10,0,0,0
3492,3493,/spirits/james-alexander-blended-scotch,"https://ip-distiller.imgix.net/images/spirits/1caff4d0-7537-0133-7aa9-6ed5812f0137/james_alexander_blended_scotch_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",James Alexander Blended Scotch,6.0,Blended,Scotland,2.0,1,40.0,,20,20,10,20,40,20,20,10,20,10,60,10,10
3493,3494,/spirits/rusty-piton-corn-whiskey,"https://ip-distiller.imgix.net/images/spirits/b8d27970-68b4-0133-6649-565af4d9f56b/gristmill_rusty_piton_corn_whiskey_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Rusty Piton Corn Whiskey,5.0,Corn,"New York, USA",2.0,2,40.0,,0,0,0,10,60,30,40,60,0,80,0,10,0
3494,3495,/spirits/mb-roland-kentucky-white-dog,"https://ip-distiller.imgix.net/images/spirits/d35cf090-43a8-0133-4f6e-6e49329533a6/mb_roland_kentucky_white_dog_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",MB Roland Kentucky White Dog,10.0,White,"Kentucky, USA",1.0,2,45.0,,10,0,30,20,20,30,40,50,0,30,0,10,20
3495,3496,/spirits/cleveland-bourbon,"https://ip-distiller.imgix.net/images/spirits/4b46a520-ebf5-0132-2d64-021e9aba0e08/cleveland-bourbon-whiskey_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Cleveland Bourbon,4.97,Bourbon,"Ohio, USA",143.0,2,50.0,"new, charred American oak",90,0,30,0,0,10,0,30,10,60,0,0,0
3496,3497,/spirits/mcafee-s-benchmark-no-8-bourbon,"https://ip-distiller.imgix.net/images/spirits/4c4e0860-938c-0132-f32c-1628d7a51d83/mcafees-benchmark-no-8-bourbon_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Benchmark No. 8 Bourbon,5.59,Bourbon,"Kentucky, USA",642.0,1,40.0,"new, charred American oak",0,0,30,10,20,30,20,90,0,40,20,20,0
3497,3498,/spirits/coppercraft-distillery-corn-whiskey,"https://ip-distiller.imgix.net/images/spirits/9fc5c3e0-83e9-0132-a3a3-12afc7bc7554/coppercraft_corn_whiskey_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Coppercraft Corn Whiskey (Discontinued),,Corn,"Michigan, USA",,2,45.0,ex-bourbon,20,0,5,10,10,40,40,30,0,35,0,10,25
3498,3499,/spirits/manhattan-moonshine,"https://ip-distiller.imgix.net/images/spirits/46fac3b0-6d1b-0132-6913-72efe19f79d3/manhattan-moonshine_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Manhattan Moonshine,10.0,White,"New York, USA",1.0,2,47.5,,0,0,35,20,0,20,10,60,0,15,0,30,40
3499,3500,/spirits/longrow-tokaji-wood-10-year,"https://ip-distiller.imgix.net/images/spirits/c2978380-65f2-0132-5ee7-02f8d6ecd964/longrow_tokaji_wood_10_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Longrow 10 Year Tokaji Wood,7.71,Peated Single Malt,"Campbeltown, Scotland",7.0,4,55.6,"ex-bourbon, ex-Tokaji wood",10,10,20,60,70,80,90,90,20,80,10,90,70
3500,3501,/spirits/filibuster-rye,"https://ip-distiller.imgix.net/images/spirits/38159360-4e69-0132-cc5c-2a021f370454/filibuster_rye_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Filibuster Rye (Discontinued),6.73,Rye,USA,48.0,2,45.0,new charred oak/ex-wine,0,0,35,25,0,40,40,85,0,20,0,75,60
3501,3502,/spirits/lexington-bourbon,"https://ip-distiller.imgix.net/images/spirits/b4ab4b10-2576-0132-1635-628c47a250e0/lexington_bourbon_v2_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Lexington Bourbon,5.58,Bourbon,"Kentucky, USA",242.0,2,43.0,"new, charred American oak",70,0,50,40,0,40,30,80,0,60,40,40,10
3502,3503,/spirits/windsor,"https://ip-distiller.imgix.net/images/spirits/08ab1840-914f-0131-d593-42e6c3a1d31b/windsor_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Windsor,4.34,Canadian,Canada,56.0,1,40.0,used American oak,20,0,60,40,60,30,30,70,0,60,30,20,0
3503,3504,/spirits/canadian-mist,"https://ip-distiller.imgix.net/images/spirits/b87119fb-8245-467f-a3ed-b0e6e24190aa/canadian_mist_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Canadian Mist,3.81,Canadian,Canada,156.0,1,40.0,,20,0,50,40,40,50,50,60,0,50,40,20,10
3504,3505,/spirits/crown-royal-texas-mesquite,"https://ip-distiller.imgix.net/images/spirits/c09b18f0-3c3c-0136-47ff-3e270f3156f4/crown_royal_texas_mesquite_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Crown Royal Texas Mesquite,4.16,Flavored Whiskey,USA,92.0,2,40.0,,90,0,40,50,60,40,60,50,30,70,0,0,0
3505,3506,/spirits/teton-moonshine-huckleberry-whiskey,"https://ip-distiller.imgix.net/images/spirits/b5caace0-1d49-0134-58f0-4ac5ca2d6cd8/teton_moonshine_huckleberry_whiskey_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Teton Moonshine Huckleberry Whiskey,5.5,Flavored Whiskey,"Idaho, USA",2.0,1,35.0,,0,0,30,30,50,0,30,75,0,65,20,100,75
3506,3507,/spirits/pink-lightning-strawberry-moonshine,"https://ip-distiller.imgix.net/images/spirits/640cab70-ce0a-0133-329c-426998793ac2/pink_lightning_strawberry_moonshine_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Pink Lightning Strawberry Moonshine,,Flavored Whiskey,"California, USA",,2,40.0,,0,0,20,60,10,20,20,10,20,0,75,90,40
