,whisky_id,category,price_tier,abv,smoky,peaty,spicy,herbal,oily,body,rich,sweet,salty,vanilla,tart,fruity,floral
2773,2773,15,4,0.32000000000000006,0.05,0.0,0.35000000000000003,0.15,0.05,0.1,0.45,0.55,0.05555555555555556,0.7000000000000001,0.15,0.65,0.631578947368421
2774,2774,15,3,0.32000000000000006,0.0,0.0,0.1,0.2,0.3,0.35000000000000003,0.15,0.6,0.0,0.65,0.55,0.6,0.5789473684210527
2775,2775,20,2,0.4,0.2,0.0,0.75,0.65,0.2,0.2,0.2,0.1,0.11111111111111112,0.0,0.2,0.1,0.3157894736842105
2776,2776,13,3,0.26,0.6,0.0,0.75,0.65,0.1,0.7000000000000001,0.75,0.5,0.22222222222222224,0.6,0.25,0.2,0.21052631578947367
2777,2777,15,3,0.32000000000000006,0.5,0.15,0.2,0.0,0.15,0.05,0.05,0.65,0.11111111111111112,0.55,0.48,0.55,0.05263157894736842
2778,2778,9,2,0.28,0.4,0.0,0.6,0.3,0.0,0.5,0.5,0.5,0.0,0.3,0.15,0.1,0.05263157894736842
2779,2779,9,4,0.32400000000000007,0.15,0.0,0.2,0.1,0.1,0.15,0.15,0.4,0.2777777777777778,0.25,0.1,0.3,0.10526315789473684
2780,2780,2,3,0.6250000000000001,0.15,0.0,0.5,0.1,0.8,0.85,0.9,0.9500000000000001,0.16666666666666669,0.6,0.0,0.45,0.21052631578947367
2781,2781,20,2,0.39,0.0,0.0,0.4,0.1,0.2,0.2,0.3,0.3,0.0,0.0,0.1,0.2,0.0
2782,2782,5,2,0.26,0.1,0.0,0.6,0.4,0.0,0.3,0.4,0.85,0.16666666666666669,0.75,0.0,0.5,0.2631578947368421
2783,2783,13,3,0.4,0.0,0.0,0.4,0.1,0.3,0.25,0.2,0.3,0.0,0.4,0.1,0.25,0.10526315789473684
2784,2784,11,2,0.32000000000000006,0.85,0.85,0.8,0.75,0.6,0.5,0.6,0.3,0.11111111111111112,0.2,0.1,0.5,0.10526315789473684
2785,2785,6,2,0.268,0.3,0.0,0.6,0.1,0.0,0.65,0.5,0.55,0.16666666666666669,0.5,0.4,0.25,0.2631578947368421
2786,2786,1,2,0.20000000000000007,0.0,0.0,0.4,0.1,0.0,0.3,0.4,0.6,0.11111111111111112,0.6,0.4,0.6,0.7368421052631579
2787,2787,5,3,0.32000000000000006,0.2,0.0,0.6,0.2,0.3,0.7000000000000001,0.6,0.5,0.0,0.4,0.1,0.3,0.0
2788,2788,5,3,0.6809999999999999,0.1,0.0,0.3,0.0,0.1,0.8,0.8,0.75,0.11111111111111112,0.5,0.1,0.4,0.0
2789,2789,5,2,0.30000000000000004,0.4,0.0,0.6,0.4,0.2,0.75,0.75,0.5,0.11111111111111112,0.4,0.1,0.55,0.3157894736842105
2790,2790,0,3,0.4,0.0,0.0,0.4,0.1,0.15,0.2,0.2,0.2,0.0,0.2,0.0,0.1,0.0
2791,2791,15,2,0.20000000000000007,0.1,0.1,0.3,0.2,0.1,0.4,0.35000000000000003,0.2,0.4444444444444445,0.45,0.0,0.6,0.3157894736842105
2792,2792,15,4,0.3720000000000001,0.4,0.0,0.3,0.3,0.4,0.4,0.4,0.6,0.22222222222222224,0.5,0.5,0.6,0.42105263157894735
2793,2793,15,4,0.27,0.0,0.0,0.6,0.2,0.3,0.4,0.3,0.6,0.0,0.4,0.7000000000000001,0.7000000000000001,0.42105263157894735
2794,2794,14,2,0.26,0.2,0.0,0.3,0.3,0.6,0.4,0.5,0.4,0.0,0.5,0.2,0.2,0.42105263157894735
2795,2795,13,2,0.28,0.0,0.0,0.6,0.3,0.3,0.2,0.2,0.3,0.0,0.25,0.2,0.3,0.21052631578947367
2796,2796,12,3,0.24,0.5,0.4,0.2,0.3,0.3,0.3,0.3,0.5,0.22222222222222224,0.2,0.5,0.5,0.631578947368421
2797,2797,5,3,0.31000000000000005,0.1,0.0,0.4,0.2,0.05,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.05555555555555556,0.3,0.1,0.4,0.05263157894736842
2798,2798,15,2,0.20000000000000007,0.0,0.0,0.2,0.2,0.1,0.35000000000000003,0.35000000000000003,0.6,0.0,0.4,0.2,0.7000000000000001,0.10526315789473684
2799,2799,11,2,0.6,0.8,0.7000000000000001,0.2,0.3,0.1,0.7000000000000001,0.7000000000000001,0.4,0.0,0.2,0.0,0.2,0.0
2800,2800,5,3,0.6,0.3,0.0,0.5,0.3,0.8,0.8,0.8,0.6,0.0,0.6,0.5,0.5,0.3157894736842105
2801,2801,0,3,0.22799999999999998,0.0,0.0,0.4,0.6,0.4,0.4,0.4,0.4,0.0,0.3,0.7000000000000001,0.7000000000000001,0.7368421052631579
2802,2802,15,4,0.26,0.1,0.0,0.4,0.2,0.4,0.3,0.5,0.4,0.11111111111111112,0.6,0.2,0.7000000000000001,0.3157894736842105
2803,2803,9,3,0.32000000000000006,0.1,0.0,0.5,0.6,0.3,0.3,0.4,0.3,0.0,0.3,0.1,0.1,0.3157894736842105
2804,2804,1,2,0.20000000000000007,0.15,0.0,0.3,0.2,0.2,0.5,0.4,0.45,0.0,0.2,0.2,0.3,0.0
2805,2805,15,5,0.26,0.05,0.0,0.4,0.2,0.5,0.5,0.4,0.6,0.0,0.6,0.1,0.4,0.3157894736842105
2806,2806,5,3,0.20000000000000007,0.0,0.0,0.4,0.0,0.6,0.5,0.4,0.6,0.0,0.3,0.0,0.3,0.0
2807,2807,15,2,0.20000000000000007,0.0,0.0,0.6,0.5,0.3,0.4,0.5,0.65,0.0,0.6,0.4,0.7000000000000001,0.21052631578947367
2808,2808,5,3,0.4,0.05,0.0,0.75,0.0,0.1,0.75,0.7000000000000001,0.6,0.0,0.4,0.2,0.3,0.0
2809,2809,9,2,0.30000000000000004,0.6,0.0,0.6,0.3,0.3,0.4,0.4,0.6,0.11111111111111112,0.6,0.1,0.3,0.3157894736842105
