,cost_rank,smoky,peaty,spicy,herbal,oily,full_bodied,rich,sweet,salty,vanilla,tart,fruity,floral
993,5.0,30.0,10.0,40.0,30.0,20.0,40.0,40.0,50.0,0.0,40.0,20.0,30.0,60.0
994,2.0,5.0,0.0,30.0,10.0,15.0,25.0,40.0,60.0,0.0,30.0,0.0,35.0,20.0
995,4.0,40.0,0.0,80.0,10.0,30.0,60.0,50.0,40.0,0.0,40.0,10.0,20.0,20.0
996,4.0,0.0,0.0,40.0,10.0,50.0,40.0,40.0,70.0,0.0,50.0,0.0,30.0,30.0
997,4.0,0.0,0.0,40.0,0.0,30.0,40.0,60.0,40.0,0.0,40.0,0.0,10.0,0.0
998,4.0,30.0,0.0,40.0,20.0,20.0,30.0,30.0,70.0,10.0,40.0,40.0,60.0,60.0
999,5.0,0.0,20.0,70.0,20.0,50.0,80.0,80.0,60.0,0.0,40.0,50.0,90.0,60.0
1000,5.0,30.0,0.0,40.0,10.0,0.0,70.0,60.0,40.0,0.0,50.0,5.0,30.0,20.0
1001,4.0,0.0,0.0,60.0,30.0,10.0,30.0,70.0,50.0,10.0,40.0,50.0,50.0,50.0
1002,4.0,10.0,0.0,70.0,40.0,40.0,40.0,50.0,70.0,20.0,40.0,40.0,70.0,50.0
1003,3.0,15.0,0.0,30.0,20.0,10.0,80.0,80.0,70.0,5.0,40.0,15.0,40.0,0.0
1004,3.0,20.0,0.0,80.0,40.0,40.0,70.0,50.0,40.0,0.0,40.0,10.0,20.0,30.0
1005,4.0,30.0,0.0,40.0,30.0,50.0,70.0,60.0,40.0,30.0,20.0,30.0,50.0,50.0
1006,3.0,10.0,0.0,20.0,30.0,10.0,80.0,100.0,90.0,10.0,70.0,0.0,40.0,30.0
1007,4.0,30.0,0.0,40.0,40.0,40.0,50.0,60.0,50.0,30.0,50.0,60.0,70.0,50.0
1008,3.0,30.0,15.0,15.0,0.0,10.0,35.0,35.0,30.0,10.0,45.0,0.0,40.0,10.0
1009,5.0,30.0,10.0,75.0,20.0,60.0,65.0,40.0,80.0,15.0,30.0,20.0,65.0,30.0
1010,3.0,40.0,0.0,30.0,10.0,60.0,40.0,60.0,50.0,10.0,50.0,30.0,40.0,40.0
1011,3.0,0.0,20.0,30.0,40.0,70.0,80.0,70.0,70.0,30.0,90.0,30.0,20.0,30.0
1012,2.0,50.0,70.0,40.0,0.0,20.0,60.0,70.0,80.0,70.0,40.0,0.0,40.0,10.0
