,link,image,name,avr_rating,category,location
40,/spirits/sugared-summer-strawberries-12-39-smws,"https://ip-distiller.imgix.net/images/spirits/18b7b360-b354-0138-4b5e-3677f875dd2a/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Sugared Summer Strawberries 12.39 (SMWS),,Single Malt,"Speyside, Scotland"
41,/spirits/hang-loose-7-241-smws,"https://ip-distiller.imgix.net/images/spirits/6b4fa130-b353-0138-9014-5aada355eaa1/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Hang Loose 7.241 (SMWS),,Single Malt,"Speyside, Scotland"
42,/spirits/pursuit-series-episode-28,"https://ip-distiller.imgix.net/images/spirits/634149b0-b333-0138-900d-5aada355eaa1/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Pursuit Series Episode 28,3.25,Bourbon,"Distilled in TN - Bottled in Louisville, KY, USA"
43,/spirits/pursuit-series-episode-27,"https://ip-distiller.imgix.net/images/spirits/dd3d3a10-b332-0138-f537-4e7b298cf41d/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Pursuit Series Episode 27,4.0,Bourbon,"Woodinville Whiskey Co - Bottled in Louisville, KY, USA"
44,/spirits/russell-s-reserve-private-barrel-selection-westport-whiskey-wine-20-0367,"https://ip-distiller.imgix.net/images/spirits/b0cadff0-b331-0138-900c-5aada355eaa1/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Russell's Reserve Private Barrel Selection Westport Whiskey & Wine 20-0367,4.5,Bourbon,"Kentucky (Wild Turkey), USA"
45,/spirits/stagg-jr-barrel-proof-bourbon-batch-14,"https://ip-distiller.imgix.net/images/spirits/7a916420-b30b-0138-4b52-3677f875dd2a/staggjrnew_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Stagg Jr Barrel Proof Bourbon Batch 14,4.34,Bourbon,"Kentucky, USA"
46,/spirits/the-whistler-bodega-cask,"https://ip-distiller.imgix.net/images/spirits/118c5620-b2d6-0138-2321-7283bbcd0a72/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",The Whistler Bodega Cask,3.53,Single Malt,"County Meath, Ireland"
47,/spirits/starlight-blackberry-indiana-whiskey,"https://ip-distiller.imgix.net/images/spirits/a9133750-b2b5-0138-231f-7283bbcd0a72/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Starlight Blackberry Indiana Whiskey,3.34,Flavored Whiskey,"Indiana, USA"
48,/spirits/ranger-creek-36-blue-line-2020,"https://ip-distiller.imgix.net/images/spirits/5c7b3a90-b2ae-0138-df5b-5e3de6810365/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Ranger Creek .36 Blue Line 2020,3.25,Bourbon,"Texas, USA"
49,/spirits/the-glen-silver-s-blended-scotch-whisky,"https://ip-distiller.imgix.net/images/spirits/fae32c20-b2a5-0138-8ff6-5aada355eaa1/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",The Glen Silver's Blended Scotch Whisky,2.75,Blended Malt,"Highland, Scotland"
